Material;Stack;327-384 keV;Err;565 - 659 keV;Err
Pb;11;1848;2.3;1447;2.6
Pb;11+13;873.1;3.4;697.7;3.8
Pb;11+13+13;413.5;5;326.8;5.6
Pb;50;216.2;7;167.1;7.9
Pb;50+50;12.94;41.5;5.971;68.9
