Kanal;   Energie(keV); Impulse
     237;   237.0000;           50   
     238;   238.0000;           56   
     239;   239.0000;           52   
     240;   240.0000;           43   
     241;   241.0000;           66   
     242;   242.0000;           61   
     243;   243.0000;           62   
     244;   244.0000;           37   
     245;   245.0000;           43   
     246;   246.0000;           62   
     247;   247.0000;           57   
     248;   248.0000;           60   
     249;   249.0000;           53   
     250;   250.0000;           57   
     251;   251.0000;           57   
     252;   252.0000;           61   
     253;   253.0000;           57   
     254;   254.0000;           53   
     255;   255.0000;           59   
     256;   256.0000;           51   
     257;   257.0000;           52   
     258;   258.0000;           56   
     259;   259.0000;           63   
     260;   260.0000;           47   
     261;   261.0000;           49   
     262;   262.0000;           54   
     263;   263.0000;           64   
     264;   264.0000;           48   
     265;   265.0000;           54   
     266;   266.0000;           68   
     267;   267.0000;           61   
     268;   268.0000;           53   
     269;   269.0000;           53   
     270;   270.0000;           50   
     271;   271.0000;           59   
     272;   272.0000;           78   
     273;   273.0000;           55   
     274;   274.0000;           42   
     275;   275.0000;           53   
     276;   276.0000;           57   
     277;   277.0000;           64   
     278;   278.0000;           57   
     279;   279.0000;           47   
     280;   280.0000;           55   
     281;   281.0000;           46   
     282;   282.0000;           58   
     283;   283.0000;           51   
     284;   284.0000;           57   
     285;   285.0000;           64   
     286;   286.0000;           67   
     287;   287.0000;           47   
     288;   288.0000;           51   
     289;   289.0000;           62   
     290;   290.0000;           57   
     291;   291.0000;           55   
     292;   292.0000;           55   
     293;   293.0000;           51   
     294;   294.0000;           57   
     295;   295.0000;           44   
     296;   296.0000;           64   
     297;   297.0000;           60   
     298;   298.0000;           59   
     299;   299.0000;           62   
     300;   300.0000;           64   
     301;   301.0000;           68   
     302;   302.0000;           63   
     303;   303.0000;           67   
     304;   304.0000;           52   
     305;   305.0000;           62   
     306;   306.0000;           63   
     307;   307.0000;           62   
     308;   308.0000;           48   
     309;   309.0000;           73   
     310;   310.0000;           69   
     311;   311.0000;           50   
     312;   312.0000;           57   
     313;   313.0000;           75   
     314;   314.0000;           50   
     315;   315.0000;           47   
     316;   316.0000;           71   
     317;   317.0000;           54   
     318;   318.0000;           55   
     319;   319.0000;           84   
     320;   320.0000;           58   
     321;   321.0000;           82   
     322;   322.0000;           58   
     323;   323.0000;           77   
     324;   324.0000;           64   
     325;   325.0000;           63   
     326;   326.0000;           63   
     327;   327.0000;           76   
     328;   328.0000;           64   
     329;   329.0000;           65   
     330;   330.0000;           72   
     331;   331.0000;           59   
     332;   332.0000;           79   
     333;   333.0000;           50   
     334;   334.0000;           64   
     335;   335.0000;           72   
     336;   336.0000;           61   
     337;   337.0000;           67   
     338;   338.0000;           66   
     339;   339.0000;           65   
     340;   340.0000;           61   
     341;   341.0000;           76   
     342;   342.0000;           88   
     343;   343.0000;           79   
     344;   344.0000;           78   
     345;   345.0000;           59   
     346;   346.0000;           70   
     347;   347.0000;           75   
     348;   348.0000;           73   
     349;   349.0000;           70   
     350;   350.0000;           72   
     351;   351.0000;           57   
     352;   352.0000;           71   
     353;   353.0000;           75   
     354;   354.0000;           54   
     355;   355.0000;           74   
     356;   356.0000;           67   
     357;   357.0000;           47   
     358;   358.0000;           73   
     359;   359.0000;           75   
     360;   360.0000;           69   
     361;   361.0000;           63   
     362;   362.0000;           76   
     363;   363.0000;           61   
     364;   364.0000;           60   
     365;   365.0000;           82   
     366;   366.0000;           70   
     367;   367.0000;           59   
     368;   368.0000;           70   
     369;   369.0000;           76   
     370;   370.0000;           83   
     371;   371.0000;           79   
     372;   372.0000;           71   
     373;   373.0000;           77   
     374;   374.0000;           83   
     375;   375.0000;           81   
     376;   376.0000;           70   
     377;   377.0000;           79   
     378;   378.0000;           63   
     379;   379.0000;           70   
     380;   380.0000;           79   
     381;   381.0000;           83   
     382;   382.0000;           82   
     383;   383.0000;           73   
     384;   384.0000;           85   
     385;   385.0000;           80   
     386;   386.0000;           59   
     387;   387.0000;           74   
     388;   388.0000;           64   
     389;   389.0000;           67   
     390;   390.0000;           82   
     391;   391.0000;           74   
     392;   392.0000;           79   
     393;   393.0000;           75   
     394;   394.0000;           75   
     395;   395.0000;           75   
     396;   396.0000;           72   
     397;   397.0000;           67   
     398;   398.0000;           85   
     399;   399.0000;           93   
     400;   400.0000;           84   
     401;   401.0000;           73   
     402;   402.0000;           55   
     403;   403.0000;           76   
     404;   404.0000;           79   
     405;   405.0000;           63   
     406;   406.0000;           76   
     407;   407.0000;           81   
     408;   408.0000;           74   
     409;   409.0000;           69   
     410;   410.0000;           93   
     411;   411.0000;           64   
     412;   412.0000;           75   
     413;   413.0000;           74   
     414;   414.0000;           78   
     415;   415.0000;           74   
     416;   416.0000;           83   
     417;   417.0000;           90   
     418;   418.0000;           86   
     419;   419.0000;           82   
     420;   420.0000;           85   
     421;   421.0000;           72   
     422;   422.0000;           73   
     423;   423.0000;           76   
     424;   424.0000;           88   
     425;   425.0000;           73   
     426;   426.0000;           77   
     427;   427.0000;           86   
     428;   428.0000;           96   
     429;   429.0000;           77   
     430;   430.0000;           86   
     431;   431.0000;           88   
     432;   432.0000;           84   
     433;   433.0000;           83   
     434;   434.0000;           67   
     435;   435.0000;           76   
     436;   436.0000;           93   
     437;   437.0000;           92   
     438;   438.0000;           95   
     439;   439.0000;           96   
     440;   440.0000;           82   
     441;   441.0000;           88   
     442;   442.0000;          102   
     443;   443.0000;           83   
     444;   444.0000;           98   
     445;   445.0000;           81   
     446;   446.0000;           92   
     447;   447.0000;          107   
     448;   448.0000;           99   
     449;   449.0000;          104   
     450;   450.0000;           93   
     451;   451.0000;           83   
     452;   452.0000;           98   
     453;   453.0000;           94   
     454;   454.0000;           73   
     455;   455.0000;           80   
     456;   456.0000;           96   
     457;   457.0000;           94   
     458;   458.0000;           90   
     459;   459.0000;           80   
     460;   460.0000;          104   
     461;   461.0000;           94   
     462;   462.0000;          106   
     463;   463.0000;           97   
     464;   464.0000;           93   
     465;   465.0000;          107   
     466;   466.0000;           85   
     467;   467.0000;          115   
     468;   468.0000;           95   
     469;   469.0000;          109   
     470;   470.0000;          100   
     471;   471.0000;           88   
     472;   472.0000;          104   
     473;   473.0000;           89   
     474;   474.0000;          123   
     475;   475.0000;           93   
     476;   476.0000;          109   
     477;   477.0000;          104   
     478;   478.0000;          115   
     479;   479.0000;          107   
     480;   480.0000;          113   
     481;   481.0000;          104   
     482;   482.0000;          102   
     483;   483.0000;          104   
     484;   484.0000;          137   
     485;   485.0000;           85   
     486;   486.0000;           94   
     487;   487.0000;          130   
     488;   488.0000;          119   
     489;   489.0000;          108   
     490;   490.0000;          111   
     491;   491.0000;          125   
     492;   492.0000;          118   
     493;   493.0000;          125   
     494;   494.0000;           98   
     495;   495.0000;          124   
     496;   496.0000;          135   
     497;   497.0000;          122   
     498;   498.0000;          132   
     499;   499.0000;          142   
     500;   500.0000;          133   
     501;   501.0000;          123   
     502;   502.0000;          131   
     503;   503.0000;          118   
     504;   504.0000;          133   
     505;   505.0000;          124   
     506;   506.0000;          120   
     507;   507.0000;          111   
     508;   508.0000;          136   
     509;   509.0000;          131   
     510;   510.0000;          130   
     511;   511.0000;          119   
     512;   512.0000;          156   
     513;   513.0000;          130   
     514;   514.0000;          153   
     515;   515.0000;          143   
     516;   516.0000;          160   
     517;   517.0000;          127   
     518;   518.0000;          144   
     519;   519.0000;          156   
     520;   520.0000;          142   
     521;   521.0000;          148   
     522;   522.0000;          148   
     523;   523.0000;          143   
     524;   524.0000;          156   
     525;   525.0000;          145   
     526;   526.0000;          143   
     527;   527.0000;          173   
     528;   528.0000;          138   
     529;   529.0000;          156   
     530;   530.0000;          161   
     531;   531.0000;          171   
     532;   532.0000;          168   
     533;   533.0000;          180   
     534;   534.0000;          150   
     535;   535.0000;          183   
     536;   536.0000;          188   
     537;   537.0000;          169   
     538;   538.0000;          163   
     539;   539.0000;          176   
     540;   540.0000;          179   
     541;   541.0000;          162   
     542;   542.0000;          169   
     543;   543.0000;          189   
     544;   544.0000;          202   
     545;   545.0000;          187   
     546;   546.0000;          165   
     547;   547.0000;          193   
     548;   548.0000;          205   
     549;   549.0000;          212   
     550;   550.0000;          215   
     551;   551.0000;          188   
     552;   552.0000;          260   
     553;   553.0000;          226   
     554;   554.0000;          207   
     555;   555.0000;          208   
     556;   556.0000;          200   
     557;   557.0000;          243   
     558;   558.0000;          227   
     559;   559.0000;          235   
     560;   560.0000;          233   
     561;   561.0000;          245   
     562;   562.0000;          241   
     563;   563.0000;          238   
     564;   564.0000;          260   
     565;   565.0000;          276   
     566;   566.0000;          295   
     567;   567.0000;          252   
     568;   568.0000;          288   
     569;   569.0000;          289   
     570;   570.0000;          319   
     571;   571.0000;          320   
     572;   572.0000;          289   
